Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures - Salary (Z32) per Pupil (V33) [District Finance] 2016-17
NOAH WEBSTER ACADEMY,Utah,4900048,2976
NOAH WEBSTER SCHOOLS - MESA (10760),Arizona,400340,3672
NOAH WEBSTER SCHOOLS-PIMA (92374),ARIZONA,400929,3124
NOBLE,Oklahoma,4021630,4164
NOBLE ACADEMY,Minnesota,2700295,3612
NOBLE ACADEMY-CLEVELAND,Ohio,3900646,4457
NOBLE ACADEMY-COLUMBUS,Ohio,3900645,4234
NOBLE LOCAL,Ohio,3904890,6484
NOBLEBORO PUBLIC SCHOOLS,Maine,2308940,4965
NOBLES COUNTY INTG COLLABORATIVE,Minnesota,2700331,†
NOBLESVILLE SCHOOLS,Indiana,1807650,5406
NOCONA ISD,Texas,4832790,7430
NODAWAY VALLEY COMM SCHOOL DISTRICT,Iowa,1913110,6987
NODAWAY-HOLT R-VII,Missouri,2922560,7072
NOGALES UNIFIED DISTRICT (4457),Arizona,405530,4131
NOKOMIS CUSD 22,Illinois,1728560,4781
NOME PUBLIC SCHOOLS,Alaska,200570,9645
NOOKSACK VALLEY SCHOOL DISTRICT,Washington,5305670,7497
NOOR INTERNATIONAL ACADEMY,Michigan,2600995,0
NORBORNE R-VIII,Missouri,2922620,8278
NORDHEIM ISD,Texas,4832880,7494
NORDONIA HILLS CITY,Ohio,3905004,6549
NORFOLK,Massachusetts,2508640,10647
NORFOLK CITY PUBLIC SCHOOLS,Virginia,5102670,7032
NORFOLK COUNTY AGRICULTURAL,Massachusetts,2508650,14172
NORFOLK PUBLIC SCHOOLS,Nebraska,3174430,6587
NORFOLK SCHOOL DISTRICT,Connecticut,902940,13941
NORFORK SCHOOL DISTRICT,Arkansas,510560,6231
NORMAN,Oklahoma,4021720,4185
NORMAN COUNTY EAST SCHOOL DISTRICT,Minnesota,2700101,7931
NORMAN COUNTY WEST SCHOOL DISTRICT,Minnesota,2791448,8373
NORMANDY SCHOOLS COLLABORATIVE,Missouri,2922650,5829
NORMANGEE ISD,Texas,4832910,6585
NORMATIVE SERVICES - ADMINISTRATION OFFICE,Wyoming,5600014,†
NORRIDGE SD 80,Illinois,1728650,6462
NORRIS CITY-OMAHA-ENFIELD CUSD 3,Illinois,1700004,4829
NORRIS ELEMENTARY,California,627450,4624
NORRIS SCHOOL DIST 160,Nebraska,3100088,5862
NORRIS SCHOOL DISTRICT,Wisconsin,5510710,32571
NORRISTOWN AREA SD,Pennsylvania,4216980,9248
NORTH ADAMS,Massachusetts,2508670,9991
NORTH ADAMS COMMUNITY SCHOOLS,Indiana,1807680,5605
NORTH ADAMS-JEROME PUBLIC SCHOOLS,Michigan,2625650,5061
NORTH ALLEGHENY SD,Pennsylvania,4217010,8409
NORTH ANDOVER,Massachusetts,2508700,8175
NORTH ANDREW CO. R-VI,Missouri,2922710,6185
NORTH ARKANSAS COLLEGE SECONDARY CENTER,Arkansas,500060,†
NORTH ARLINGTON SCHOOL DISTRICT,New Jersey,3411430,8335
NORTH ATTLEBOROUGH,Massachusetts,2508730,7909
NORTH BABYLON UNION FREE SCHOOL DISTRICT,New York,3620910,13700
NORTH BALTIMORE LOCAL,Ohio,3905070,7357
NORTH BASS LOCAL,Ohio,3904896,†
NORTH BEACH SCHOOL DISTRICT NO. 64,Washington,5305700,6833
NORTH BELLMORE UNION FREE SCHOOL DISTRICT,New York,3620940,15749
NORTH BEND CENTRAL PUBLIC SCHS,Nebraska,3100115,7183
NORTH BEND SD 13,Oregon,4108820,2589
NORTH BENNINGTON INCORPORATED SCHOOL DISTRICT,Vermont,5006060,85
NORTH BERGEN SCHOOL DISTRICT,New Jersey,3411460,10032
NORTH BOLIVAR CONS SCHOOL DIST,MISSISSIPPI,2800186,6280
NORTH BOONE CUSD 200,Illinois,1728700,6325
NORTH BORDER 100,North Dakota,3800054,10050
NORTH BRANCH AREA PUBLIC SCHOOLS,Minnesota,2723820,6665
NORTH BRANCH AREA SCHOOLS,Michigan,2625680,4233
NORTH BRANFORD SCHOOL DISTRICT,Connecticut,902970,10190
NORTH BROOKFIELD,Massachusetts,2508760,8922
NORTH BRUNSWICK TOWNSHIP SCHOOL DISTRICT,New Jersey,3411490,9359
NORTH BUTLER COMM SCHOOL DISTRICT,Iowa,1903450,6913
NORTH CALDWELL SCHOOL DISTRICT,New Jersey,3411520,9946
NORTH CALLAWAY CO. R-I,Missouri,2922740,5006
NORTH CANAAN SCHOOL DISTRICT,Connecticut,903000,13227
NORTH CANTON CITY,Ohio,3904450,6148
NORTH CAPE SCHOOL DISTRICT,Wisconsin,5512510,7601
NORTH CAROLINA CYBER ACADEMY,NORTH CAROLINA,3700386,1656
NORTH CAROLINA VIRTUAL PUBLIC SCHOOL,North Carolina,3700355,†
NORTH CEDAR COMM SCHOOL DISTRICT,Iowa,1917100,6040
NORTH CENTRAL ACADEMY,Ohio,3901420,0
NORTH CENTRAL AREA CAREER & TECHNICAL CENTER,North Dakota,3800393,†
NORTH CENTRAL AREA SCHOOLS,Michigan,2629220,4958
NORTH CENTRAL ARK. EDUC COOP,Arkansas,500022,†
NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,Washington,5300004,†
NORTH CENTRAL ESD,Oregon,4100026,†
NORTH CENTRAL KANSAS SP. ED. COOP. INTERLOCAL,Kansas,2000052,†
NORTH CENTRAL LOCAL,Ohio,3905064,6963
NORTH CENTRAL OHIO ESC,Ohio,3900063,†
NORTH CENTRAL PARKE COMM SCHL CORP,Indiana,1800118,5497
NORTH CENTRAL SECURE TRMNT UNT,Pennsylvania,4209933,0
NORTH CENTRAL SPECIAL ED COOPERATIVE,South Dakota,4600032,†
NORTH CHICAGO SD 187,Illinois,1700110,5666
NORTH CLACKAMAS SD 12,Oregon,4108830,5534
NORTH CLARION COUNTY SD,Pennsylvania,4217130,6189
NORTH CLAY CUSD 25,Illinois,1728810,5048
NORTH COLLEGE HILL CITY,Ohio,3904451,5172
NORTH COLLINS CENTRAL SCHOOL DISTRICT,New York,3620970,11936
NORTH COLONIE CSD,New York,3621000,11286
NORTH CONEJOS SCHOOL DISTRICT NO. RE1J,Colorado,805100,5099
NORTH COUNTRY CHARTER ACADEMY,New Hampshire,3300030,†
NORTH COUNTRY SUPERVISORY UNION,Vermont,5099931,†
NORTH COUNTRY UNION HIGH SCHOOL DISTRICT,Vermont,5009600,9431
NORTH COUNTRY UNION JUNIOR HIGH SCHOOL DISTRICT,Vermont,5009570,11304
NORTH COUNTRY VOC. COOP. CTR.,Minnesota,2700031,†
NORTH COUNTY JOINT UNION ELEMENTARY,California,627480,5202
NORTH COUNTY REGIONAL OCCUPATIONAL CENTER/PROGRAM (ROC/P),California,601343,†
NORTH COW CREEK ELEMENTARY,California,627510,4859
NORTH CRAWFORD SCHOOL DISTRICT,Wisconsin,5504980,7226
NORTH CTRL LEARN RES CTR,Montana,3000017,†
NORTH DAVIESS COM SCHOOLS,Indiana,1807710,5628
NORTH DAVIESS R-III,Missouri,2915630,9494
NORTH DAVIS PREPARATORY ACADEMY,Utah,4900068,2990
NORTH DAYTON SCHOOL OF DISCOVERY,Ohio,3900216,0
NORTH DICKINSON COUNTY SCHOOLS,Michigan,2630480,4204
NORTH DOUGLAS SD 22,Oregon,4104350,5721
NORTH DUPAGE SP ED COOPERATIVE,Illinois,1700152,†
NORTH EAST CAROLINA PREPARATORY SCHOOL,North Carolina,3700323,4074
NORTH EAST ISD,Texas,4832940,6101
NORTH EAST SD,Pennsylvania,4217160,6682
NORTH FAYETTE VALLEY COMM SCHOOL DISTRICT,Iowa,1900006,7259
NORTH FOND DU LAC SCHOOL DISTRICT,Wisconsin,5510740,6096
NORTH FORK LOCAL,Ohio,3904802,5780
NORTH FRANKLIN SCHOOL DISTRICT,Washington,5305730,6533
NORTH GEM DISTRICT,Idaho,1602430,6715
NORTH GEORGIA RESA,Georgia,1300007,†
NORTH GIBSON SCHOOL CORPORATION,Indiana,1807770,5407
NORTH GREENBUSH COMMON SCHOOL DISTRICT (WILLIAMS),New York,3631410,25938
NORTH GREENE CUSD 3,Illinois,1742240,5275
NORTH HALEDON SCHOOL DISTRICT,New Jersey,3411550,8878
NORTH HAMPTON SCHOOL DISTRICT,New Hampshire,3305370,11808
NORTH HANOVER TOWNSHIP SCHOOL DISTRICT,New Jersey,3411580,10754
NORTH HARLEM COLONY ELEM,Montana,3019310,3500
NORTH HARRISON COM SCHOOL CORP,Indiana,1800690,5073
NORTH HARRISON R-III,Missouri,2922770,5542
NORTH HAVEN SCHOOL DISTRICT,Connecticut,903030,10312
NORTH HERO SCHOOL DISTRICT,Vermont,5006090,5042
NORTH HILLS SD,Pennsylvania,4217220,8000
NORTH HOPKINS ISD,Texas,4832970,5992
NORTH HUNTERDON-VOORHEES REGIONAL HIGH SCHOOL DISTRICT,New Jersey,3411610,10667
NORTH HURON SCHOOL DISTRICT,Michigan,2625780,4943
NORTH IDAHO STEM CHARTER ACADEMY INC.,Idaho,1600160,2824
NORTH IOWA COMM SCHOOL DISTRICT,Iowa,1905750,7091
NORTH JACKSON,Kansas,2004830,5947
NORTH JUDSON-SAN PIERRE SCH CORP,Indiana,1807800,4764
NORTH KANSAS CITY 74,Missouri,2922800,7004
NORTH KERN VOCATIONAL TRAINING CENTER,California,600074,†
NORTH KERN VOCATIONAL TRAINING CENTER JPA,California,601395,†
NORTH KINGSTOWN,Rhode Island,4400750,9126
NORTH KITSAP SCHOOL DISTRICT,Washington,5305760,7387
NORTH KNOX SCHOOL CORP,Indiana,1807830,4195
NORTH KOSSUTH COMM SCHOOL DISTRICT,Iowa,1920830,7847
NORTH LAKE SCHOOL DISTRICT,Wisconsin,5509300,6762
NORTH LAKE SD 14,Oregon,4111400,6928
NORTH LAKELAND SCHOOL DISTRICT,Wisconsin,5501530,10000
NORTH LAKES ACADEMY,Minnesota,2700177,5604
NORTH LAMAR ISD,Texas,4833010,6862
NORTH LAWRENCE COM SCHOOLS,Indiana,1807860,5799
NORTH LINN COMM SCHOOL DISTRICT,Iowa,1920820,6406
NORTH LITTLE ROCK SCHOOL DISTRICT,Arkansas,510680,6008
NORTH LYON COUNTY,Kansas,2003210,7381
NORTH MAC CUSD 34,Illinois,1701403,4690
NORTH MAHASKA COMM SCHOOL DISTRICT,Iowa,1920850,7094
NORTH MARION SD 15,Oregon,4108880,5741
NORTH MASON SCHOOL DISTRICT,Washington,5305790,6474
NORTH MERCER CO. R-III,Missouri,2920750,7126
NORTH MERRICK UNION FREE SCHOOL DISTRICT,New York,3621120,15001
NORTH METRO FLEX ACADEMY,MINNESOTA,2700423,5329
NORTH MIAMI COMMUNITY SCHOOLS,Indiana,1807890,4622
NORTH MIDDLESEX,Massachusetts,2508790,8699
NORTH MONTCO TECHNICAL CAREER CENTER,Pennsylvania,4280590,†
NORTH MONTEREY COUNTY UNIFIED,California,627590,7131
NORTH MONTGOMERY COM SCH CORP,Indiana,1807900,5825
NORTH MUSKEGON PUBLIC SCHOOLS,Michigan,2625800,4651
NORTH NEWTON SCHOOL CORP,Indiana,1807920,4804
NORTH NODAWAY CO. R-VI,Missouri,2921690,7509
NORTH OLMSTED CITY,Ohio,3904452,9667
NORTH ORANGE COUNTY ROP JPA,California,601364,†
NORTH ORANGE COUNTY ROP-ADULT,California,600121,†
NORTH OTTAWA COUNTY,Kansas,2009570,6789
NORTH PALOS SD 117,Illinois,1728890,6625
NORTH PANOLA SCHOOL DISTRICT,Mississippi,2803210,5855
NORTH PARK SCHOOL DISTRICT R-1,Colorado,807050,8292
NORTH PEMISCOT CO. R-I,Missouri,2923760,5717
NORTH PENN SD,Pennsylvania,4217280,9787
NORTH PHOENIX PREPARATORY ACADEMY (90879),Arizona,400861,4351
NORTH PIKE SCHOOL DIST,Mississippi,2803240,4598
NORTH PLAINFIELD SCHOOL DISTRICT,New Jersey,3411640,10707
NORTH PLATTE CO. R-I,Missouri,2922830,6224
NORTH PLATTE PUBLIC SCHOOLS,Nebraska,3100022,6492
NORTH POCONO SD,Pennsylvania,4217310,6797
NORTH POINT EDUCATIONAL SERVICE CENTER,Ohio,3900013,†
NORTH POLK COMM SCHOOL DISTRICT,Iowa,1920910,5755
NORTH POWDER SD 8J,Oregon,4108940,6000
NORTH PROVIDENCE,Rhode Island,4400780,8645
NORTH PUTNAM COMMUNITY SCHOOLS,Indiana,1807980,4648
NORTH READING,Massachusetts,2508820,10362
NORTH RIDGEVILLE CITY,Ohio,3904453,5294
NORTH RIVER COLLABORATIVE,MASSACHUSETTS,2500577,†
NORTH RIVER SCHOOL DISTRICT,Washington,5305820,17115
NORTH ROCK CREEK,Oklahoma,4021840,4238
NORTH ROSE-WOLCOTT CENTRAL SCHOOL DISTRICT,New York,3616980,11636
NORTH ROYALTON CITY,Ohio,3904454,7243
NORTH SAGINAW CHARTER ACADEMY,Michigan,2600219,0
NORTH SALEM CENTRAL SCHOOL DISTRICT,New York,3621180,21369
NORTH SANPETE DISTRICT,Utah,4900660,4368
NORTH SANTA CRUZ COUNTY SELPA,California,601358,†
NORTH SANTIAM SD 29J,Oregon,4100020,5131
NORTH SARGENT 3,North Dakota,3814290,8449
NORTH SCHUYLKILL SD,Pennsylvania,4210110,6481
NORTH SCOTT COMM SCHOOL DISTRICT,Iowa,1920940,6715
NORTH SHELBY,Missouri,2928140,6714
NORTH SHORE CENTRAL SCHOOL DISTRICT,New York,3626370,21782
NORTH SHORE COMMUNITY SCHOOL,Minnesota,2700208,5036
NORTH SHORE SD 112,Illinois,1700119,10588
NORTH SIDE COMMUNITY SCHOOL,Missouri,2900589,6433
NORTH SLOPE BOROUGH SCHOOL DISTRICT,Alaska,200610,15370
NORTH SMITHFIELD,Rhode Island,4400810,8800
NORTH SPENCER COUNTY SCH CORP,Indiana,1808010,4675
NORTH ST. FRANCOIS CO. R-I,Missouri,2905430,6010
NORTH ST. PAUL-MAPLEWOOD OAKDALE,Minnesota,2723850,7737
NORTH STAR 10,North Dakota,3800390,7129
NORTH STAR ACADEMY,Utah,4900025,3015
NORTH STAR ACADEMY CHARTER SCHOOL,New Jersey,3400024,8116
NORTH STAR CHARTER SCHOOL INC.,IDAHO,1600174,3444
NORTH STAR CHARTER SCHOOL INC. (79701),Arizona,400303,2958
NORTH STAR ELEM,Montana,3000096,6140
NORTH STAR HS,Montana,3000097,10508
NORTH STAR MONTESSORI ACADEMY,Michigan,2600153,3981
NORTH STAR SD,Pennsylvania,4210115,6356
NORTH STONINGTON SCHOOL DISTRICT,Connecticut,903060,10999
NORTH SUBURBAN EDUC REG FOR VOC,Illinois,1700250,†
NORTH SUMMIT DISTRICT,Utah,4900690,5062
NORTH SYRACUSE CENTRAL SCHOOL DISTRICT,New York,3621210,9570
NORTH TAMA COUNTY COMM SCHOOL DISTRICT,Iowa,1921000,7728
NORTH TEXAS COLLEGIATE ACADEMY,Texas,4800187,7101
NORTH THURSTON PUBLIC SCHOOLS,Washington,5305850,7167
NORTH TIPPAH SCHOOL DIST,Mississippi,2803270,5148
NORTH TONAWANDA CITY SCHOOL DISTRICT,New York,3621240,10583
NORTH UNION COMM SCHOOL DISTRICT,Iowa,1903850,6170
NORTH UNION LOCAL SCHOOL DISTRICT,Ohio,3905033,6138
NORTH VALLEY ACADEMY,New Mexico,3500106,5091
NORTH VALLEY ACADEMY INC.,Idaho,1600143,3877
NORTH VALLEY AREA CAREER & TECHNICAL CENTER,North Dakota,3880700,†
NORTH VERMILLION COM SCH CORP,Indiana,1808070,5232
NORTH WAMAC SD 186,Illinois,1740680,4819
NORTH WARREN CENTRAL SCHOOL DISTRICT,New York,3616960,12482
NORTH WARREN REGIONAL SCHOOL DISTRICT,New Jersey,3409550,9920
NORTH WASCO COUNTY SD 21,Oregon,4100048,5244
NORTH WAYNE CUSD 200,Illinois,1710240,7612
NORTH WEST HENDRICKS SCHOOLS,Indiana,1808100,4409
NORTH WHITE SCHOOL CORP,Indiana,1808130,4693
NORTH WILDWOOD SCHOOL DISTRICT,New Jersey,3411670,17812
NORTH WINNESHIEK COMM SCHOOL DISTRICT,Iowa,1921060,4427
NORTH WOOD R-IV,Missouri,2910650,3411
NORTH WOODS CAREER PREP HIGH SCHOOL,Ohio,3900643,0
NORTH ZULCH ISD,Texas,4833030,6326
NORTHAMPTON,Massachusetts,2508850,9121
NORTHAMPTON AREA SD,Pennsylvania,4217370,6932
NORTHAMPTON COUNTY PUBLIC SCHOOLS,Virginia,5102710,7044
NORTHAMPTON COUNTY SCHOOLS,North Carolina,3703420,7646
NORTHAMPTON-SMITH VOCATIONAL AGRICULTURAL,Massachusetts,2508860,14675
NORTHBORO-SOUTHBORO,Massachusetts,2508910,11059
NORTHBOROUGH,Massachusetts,2508880,11040
NORTHBRIDGE,Massachusetts,2508940,8361
NORTHBROOK ESD 27,Illinois,1717850,12895
NORTHBROOK SD 28,Illinois,1728980,13211
NORTHBROOK/GLENVIEW SD 30,Illinois,1724420,12423
NORTHEAST,Kansas,2003480,6771
NORTHEAST ACADEMY OF AEROSPACE & ADVTECH,NORTH CAROLINA,3700394,4167
NORTHEAST ARIZONA TECHNOLOGICAL INSTITUTE OF VOCAT (81114),Arizona,400612,†
NORTHEAST ARK. EDUC. COOP,Arkansas,500027,†
NORTHEAST ART AND SCIENCE POLYTECHN,MINNESOTA,2700434,†
NORTHEAST BOCES,Colorado,899180,†
NORTHEAST BOCES AU,Colorado,800229,†
NORTHEAST BRADFORD SD,Pennsylvania,4217460,7900
NORTHEAST CENTRAL SCHOOL DISTRICT,New York,3630390,13965
NORTHEAST CLAIBORNE CHARTER,LOUISIANA,2200252,2799
NORTHEAST COLLEGE PREP,Minnesota,2700398,6646
NORTHEAST COMM SCHOOL DISTRICT,Iowa,1921090,9739
NORTHEAST DUBOIS CO SCH CORP,Indiana,1808120,5663
NORTHEAST GEORGIA RESA,Georgia,1300010,†
NORTHEAST HAMILTON COMM SCHOOL DISTRICT,Iowa,1921120,5179
NORTHEAST KINGDOM LEARNING SERVICES,Vermont,5000373,†
NORTHEAST KS EDUCATION SERV CNTR,Kansas,2000039,†
NORTHEAST METRO 916,Minnesota,2702264,†
NORTHEAST METROPOLITAN REGIONAL VOCATIONAL TECHNICAL,Massachusetts,2508960,13005
NORTHEAST NE JUVENILE SERVICES,Nebraska,3100154,†
NORTHEAST NODAWAY CO. R-V,Missouri,2921660,6207
NORTHEAST OHIO COLLEGE PREPARATORY SCHOOL,Ohio,3901376,4420
NORTHEAST RANDOLPH CO. R-IV,Missouri,2922860,5825
NORTHEAST SCHOOL CORP,Indiana,1808160,3745
NORTHEAST TECH. CENTER- AFTON,Oklahoma,4000083,†
NORTHEAST TECH. CENTER- CLAREMORE,Oklahoma,4000754,†
NORTHEAST TECH. CENTER- KANSAS,Oklahoma,4000060,†
NORTHEAST TECH. CENTER- PRYOR,Oklahoma,4000072,†
NORTHEAST TECHNICAL HIGH SCHOOL,South Dakota,4680170,†
NORTHEAST VERNON CO. R-I,Missouri,2927600,7255
NORTHEAST WYOMING BOCES,Wyoming,5680180,†
NORTHEASTERN CLINTON CENTRAL SCHOOL DISTRICT,New York,3621250,10400
NORTHEASTERN EDUCATIONAL IU 19,Pennsylvania,4289290,†
NORTHEASTERN LOCAL,Ohio,3904625,5809
NORTHEASTERN LOCAL,Ohio,3904672,5526
NORTHEASTERN UTAH ED. SERV.,Utah,4900028,†
NORTHEASTERN WAYNE SCHOOLS,Indiana,1808190,6336
NORTHEASTERN YORK SD,Pennsylvania,4217520,7228
NORTHERN ADIRONDACK CENTRAL SCHOOL DISTRICT,New York,3621260,12963
NORTHERN ARIZONA VOCATIONAL INSTITUTE OF TECHNOLOG (78786),Arizona,400197,†
NORTHERN BEDFORD COUNTY SD,Pennsylvania,4217580,6427
NORTHERN BERKSHIRE REGIONAL VOCATIONAL TECHNICAL,Massachusetts,2508950,14169
NORTHERN BURLINGTON COUNTY REGIONAL SCHOOL DISTRICT,New Jersey,3411700,9138
NORTHERN CALIF. MEDI-CAL ADMIN. SERVICES JPA,California,601370,†
NORTHERN CAMBRIA SD,Pennsylvania,4217610,6702
NORTHERN CASS 97,North Dakota,3800044,6273
NORTHERN HIGHLANDS REGIONAL HIGH SCHOOL DISTRICT,New Jersey,3411730,11814
NORTHERN HILLS ACADEMY SCHOOL DISTRICT,New Jersey,3480320,†
NORTHERN HUMBOLDT UNION HIGH,California,603030,7109
NORTHERN IN EDUCATION CENTER,Indiana,1800040,†
NORTHERN KANE CO REG VOC SYSTEM,Illinois,1700279,†
NORTHERN KENTUCKY COOPERATIVE FOR EDUCATIONAL SERVICES,Kentucky,2100112,†
NORTHERN LEBANON SD,Pennsylvania,4217640,6365
NORTHERN LEHIGH SD,Pennsylvania,4217670,8011
NORTHERN LIGHTS ACADEMY COOPERATIVE,MINNESOTA,2700442,†
NORTHERN LIGHTS COMMUNITY SCHOOL,Minnesota,2700256,10340
NORTHERN LOCAL,Ohio,3904905,5537
NORTHERN NECK REGIONAL,Virginia,5100016,†
NORTHERN NECK REGIONAL ALTERNATIVE ED,Virginia,5100097,†
NORTHERN NECK TECHNICAL CENTER,Virginia,5100012,†
NORTHERN OZAUKEE SCHOOL DISTRICT,Wisconsin,5504890,4467
NORTHERN PLAINS SPECIAL ED UNIT,North Dakota,3880180,†
NORTHERN POTTER SD,Pennsylvania,4217700,8133
NORTHERN REGION EDUCATIONAL SERVICES COMMISSION,New Jersey,3480364,†
NORTHERN RI COLLABORATIVE,Rhode Island,4400020,†
NORTHERN TIER CAREER CENTER,Pennsylvania,4280510,†
NORTHERN TIOGA SD,Pennsylvania,4217730,6907
NORTHERN VALLEY,Kansas,2003270,8442
NORTHERN VALLEY REGIONAL HIGH SCHOOL DISTRICT,New Jersey,3411760,17700
NORTHERN VIRGINIA REGIONAL SPECIAL EDUCATION PGM,Virginia,5100026,†
NORTHERN VIRGINIA TRAINING CENTER,Virginia,5100051,†
NORTHERN WESTMORELAND CAREER AND TECHNOLOGY CENTER,Pennsylvania,4280490,†
NORTHERN YORK COUNTY SD,Pennsylvania,4217760,6147
NORTHFIELD CITY SCHOOL DISTRICT,New Jersey,3411790,10082
NORTHFIELD PUBLIC SCHOOL DISTRICT,Minnesota,2723880,8232
NORTHFIELD PUBLIC SCHOOLS,Maine,2309090,†
NORTHFIELD SCHOOL DISTRICT,Vermont,5006120,6133
NORTHGATE SD,Pennsylvania,4217770,8558
NORTHLAND COMMUNITY SCHOOLS,Minnesota,2730870,10769
NORTHLAND LEARNING CENTER,Minnesota,2700224,†
NORTHLAND PINES SCHOOL DISTRICT,Wisconsin,5503860,7797
NORTHLAND PREPARATORY ACADEMY (4204),Arizona,400097,4649
NORTHLAND PREPARATORY AND FITNESS ACADEMY,Ohio,3900552,0
NORTHMONT CITY,Ohio,3904872,6629
NORTHMONT SECONDARY ACADEMY,Ohio,3901537,0
NORTHMOR LOCAL,Ohio,3904881,5518
NORTHPOINTE ACADEMY,Ohio,3901319,9
NORTHPORT PUBLIC SCHOOL DISTRICT,Michigan,2625920,11762
NORTHPORT PUBLIC SCHOOLS,MAINE,2314824,5699
NORTHPORT SCHOOL DISTRICT,Washington,5305880,8099
NORTHPORT-EAST NORTHPORT UNION FREE SCHOOL DISTRICT,New York,3621270,16546
NORTHRIDGE ACADEMY,Michigan,2600194,0
NORTHRIDGE LOCAL,Ohio,3904873,7570
NORTHRIDGE LOCAL,Ohio,3904803,5388
NORTHSHORE CHARTER SCHOOL INC.,LOUISIANA,2200205,6376
NORTHSHORE EDUCATION CONSORTIUM,MASSACHUSETTS,2500562,†
NORTHSHORE SCHOOL DISTRICT,Washington,5305910,7151
NORTHSIDE CHARTER HIGH SCHOOL,New York,3600948,0
NORTHSIDE ISD,Texas,4833090,5648
NORTHSIDE ISD,Texas,4833120,6132
NORTHUMBERLAND COUNTY CAREER AND TECHNOLOGY CENTER,Pennsylvania,4280491,†
NORTHUMBERLAND COUNTY PUBLIC SCHOOLS,Virginia,5102730,7976
NORTHUMBERLAND SAU OFFICE,New Hampshire,3399958,†
NORTHUMBERLAND SCHOOL DISTRICT,New Hampshire,3305400,9181
NORTHVALE PUBLIC SCHOOL DISTRICT,New Jersey,3411820,9966
NORTHVIEW PUBLIC SCHOOLS,Michigan,2625950,5497
NORTHVILLE CENTRAL SCHOOL DISTRICT,New York,3621300,10864
NORTHVILLE PUBLIC SCHOOLS,Michigan,2625980,5922
NORTHWEST AEA,Iowa,1999012,†
NORTHWEST ALLEN COUNTY SCHOOLS,Indiana,1808250,4658
NORTHWEST ARCTIC BOROUGH SCHOOL DISTRICT,Alaska,200625,12567
NORTHWEST AREA SCHOOLS ED COOPERATIVE,South Dakota,4680280,†
NORTHWEST AREA SD,Pennsylvania,4217790,6809
NORTHWEST ARK. EDUCATION COOP,Arkansas,500039,†
NORTHWEST ARKANSAS COMMUNITY COLLEGE REGIONAL CENTER,Arkansas,500081,†
NORTHWEST BOCES AU,Colorado,800248,†
NORTHWEST COLORADO BOCES,Colorado,899220,†
NORTHWEST COMMUNITY SCHOOLS,Michigan,2626010,4800
NORTHWEST EDUCATION SERVICES,Michigan,2680440,†
NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,Washington,5300008,†
NORTHWEST GEORGIA RESA,Georgia,1300006,†
NORTHWEST IN EDUCATION CENTER,Indiana,1800130,†
NORTHWEST ISD,Texas,4833180,5847
NORTHWEST KS EDUCATIONAL SERV CNTR,Kansas,2000046,†
NORTHWEST LOCAL,Ohio,3904990,5800
NORTHWEST LOCAL,Ohio,3904963,6860
NORTHWEST LOCAL,Ohio,3904736,6106
NORTHWEST OHIO EDUCATIONAL SERVICE CENTER,Ohio,3900015,†
NORTHWEST PASSAGE HIGH SCHOOL,Minnesota,2700173,6292
NORTHWEST PUBLIC SCHOOLS,Nebraska,3174580,6692
NORTHWEST R-I,Missouri,2922890,5797
NORTHWEST REGIONAL ESD,Oregon,4100022,†
NORTHWEST SCHOOL OF THE ARTS,Ohio,3900313,0
NORTHWEST SP ED COOPERATIVE,ILLINOIS,1701421,†
NORTHWEST TECH. CENTER- ALVA,Oklahoma,4000095,†
NORTHWEST TECH. CENTER- FAIRVIEW,Oklahoma,4000071,†
NORTHWEST TRI-COUNTY IU 5,Pennsylvania,4289150,†
NORTHWEST WYOMING BOCES,Wyoming,5600016,†
NORTHWESTERN AREA SCHOOL DISTRICT 56-7,South Dakota,4651750,6723
NORTHWESTERN CON SCHOOL CORP,Indiana,1808310,5127
NORTHWESTERN CUSD 2,Illinois,1730540,6717
NORTHWESTERN ILLINOIS ASSN,Illinois,1729020,†
NORTHWESTERN LEHIGH SD,Pennsylvania,4217850,8596
NORTHWESTERN LOCAL,Ohio,3904626,5424
NORTHWESTERN LOCAL,Ohio,3910033,6553
NORTHWESTERN R-I,Missouri,2922920,8085
NORTHWESTERN REGIONAL EDUCATION PROGRAM,Virginia,5100025,†
NORTHWESTERN SCHOOL CORP,Indiana,1802040,6154
NORTHWESTERN SD,Pennsylvania,4217880,6127
NORTHWOOD 129,North Dakota,3814340,7167
NORTHWOOD ACADEMY CS,Pennsylvania,4200139,5389
NORTHWOOD LOCAL SCHOOLS,Ohio,3905071,6840
NORTHWOOD SAU OFFICE,New Hampshire,3399944,†
NORTHWOOD SCHOOL DISTRICT,New Hampshire,3305430,4616
NORTHWOOD SCHOOL DISTRICT,Wisconsin,5509720,8978
NORTHWOOD-KENSETT COMM SCHOOL DISTRICT,Iowa,1921210,6816
NORTON,Massachusetts,2509000,8899
NORTON CITY,Ohio,3904455,5775
NORTON CITY PUBLIC SCHOOLS,Virginia,5102760,5910
NORTON COMMUNITY SCHOOLS,Kansas,2010020,6381
NORTON SCHOOL DISTRICT,Vermont,5006150,†
NORWALK CITY,Ohio,3904456,5576
