Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures - Salary (Z32) per Pupil (V33) [District Finance] 2016-17
AKRON CITY,Ohio,3904348,8740
AKRON DIGITAL ACADEMY,Ohio,3900152,4883
AKRON PREPARATORY SCHOOL,Ohio,3901503,3900
AKRON SCHOOL DISTRICT NO. R-1,Colorado,802040,5593
AKRON WESTFIELD COMM SCHOOL DISTRICT,Iowa,1903220,8065
AKRON-FAIRGROVE SCHOOLS,Michigan,2602010,4770
AKROS MIDDLE SCHOOL,Ohio,3901428,6315
AL INST DEAF AND BLIND,Alabama,100009,†
ALA CHARLOTTE,North Carolina,3700350,4796
ALABAMA CLINICAL SCHOOLS,Alabama,100183,†
ALABAMA SCHOOL OF FINE ARTS,Alabama,100018,†
ALABAMA YOUTH SERVICES,Alabama,100002,†
ALABASTER CITY,Alabama,100190,5695
ALACHUA,Florida,1200030,5260
ALAMANCE-BURLINGTON SCHOOLS,North Carolina,3700030,5338
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,601355,†
ALAMEDA COUNTY OFFICE OF EDUCATION,California,691051,8264
ALAMEDA UNIFIED,California,601770,6250
ALAMO,Tennessee,4700030,4898
ALAMO HEIGHTS ISD,Texas,4807590,6872
ALAMOGORDO,New Mexico,3500030,5021
ALAMOSA SCHOOL DISTRICT NO. RE-11J,Colorado,802070,4843
ALANSON PUBLIC SCHOOLS,Michigan,2621810,4787
ALASKA GATEWAY SCHOOL DISTRICT,Alaska,200050,13388
ALBA PUBLIC SCHOOLS,Michigan,2602040,5579
ALBA-GOLDEN ISD,Texas,4807650,5619
ALBANY CITY SCHOOL DISTRICT,New York,3602460,11272
ALBANY CITY UNIFIED,California,601860,7525
ALBANY COUNTY SCHOOL DISTRICT #1,Wyoming,5600730,9439
ALBANY ISD,Texas,4807680,7224
ALBANY LEADERSHIP CHARTER SCHOOL FOR GIRLS,New York,3601006,0
ALBANY PUBLIC SCHOOL DISTRICT,Minnesota,2702930,7427
ALBANY R-III,Missouri,2902970,5677
ALBANY SCHOOL DISTRICT,Wisconsin,5500120,7887
ALBANY SCHOOL DISTRICT,Vermont,5001740,9231
ALBANY SCHOOL DISTRICT,New Hampshire,3301350,†
ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,New York,3680100,†
ALBEMARLE COUNTY PUBLIC SCHOOLS,Virginia,5100090,8050
ALBERS SD 63,Illinois,1703270,4340
ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT,Iowa,1900031,4096
ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIENCES-OHIO,Ohio,3901539,4082
ALBERT GALLATIN AREA SD,Pennsylvania,4202100,5869
ALBERT LEA PUBLIC SCHOOL DISTRICT,Minnesota,2702970,7625
ALBERTON K-12 SCHOOLS,Montana,3001860,9237
ALBERTVILLE CITY,Alabama,100005,4554
ALBIA COMM SCHOOL DISTRICT,Iowa,1903270,6066
ALBION,Oklahoma,4002580,7520
ALBION CENTRAL SCHOOL DISTRICT,New York,3602520,8725
ALBUQUERQUE,New Mexico,3500060,5733
ALBUQUERQUE BILINGUAL ACADEMY,New Mexico,3500134,5353
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,New Mexico,3500130,5370
ALBURGH SCHOOL DISTRICT,Vermont,5001770,5850
ALBURNETT COMM SCHOOL DISTRICT,Iowa,1903300,7199
ALCESTER-HUDSON SCHOOL DISTRICT 61-1,South Dakota,4600028,6624
ALCOA,Tennessee,4700060,6167
ALCONA COMMUNITY SCHOOLS,Michigan,2602160,4910
